ID,prh_start,prh_stop,prh_fps,lunge_quality,sonar_exp,total_lunges,deployment-time_secs,Index,TagOn,TagOff,dayhours,dayhourslunges,nighthours,nighthourslunges,twilightzone,twilightzonelunges,Prey,Prey notes,whaleLength,Study_Area,SpeciesCode,CommonName,med_TLm,slope,intercept,BestLengthEst,Engulfment_L,TotalLunges,TotalHours,LungesPerHour,LungesPerDayHour,LungesPerNightHour,LungesPerTwHour,PreyClean,Region,deployment-time_h
bw11_218a,0,49491,5,good,yes,8,9898.2,281,685,48101,2.634222222492099,8,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,8,2.634222222492099,3.036949552582402,3.036949552582402,NA,NA,Krill-feeding,Eastern North Pacific,2.7495
bw170814-30,7677,110539,10,good,none,40,10286.2,59,7678,110540,2.8572777779772878,40,0,0,0,0,Krill,NA,NA,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,40,2.8572777779772878,13.999338919129045,13.999338919129045,NA,NA,Krill-feeding,Eastern North Pacific,2.8572777777777776
bw11_218b,0,91502,5,good,yes,55,18300.4,282,3440,90935,2.8852118672803044,66,1.5362399518489838,2,0.4393815128132701,1,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,69,4.860833331942558,14.19509686673935,22.87526983667018,1.3018799554020484,2.2759264348588637,Krill-feeding,Eastern North Pacific,5.083444444444445
bp10_244a,0,52943,5,good,none,52,10588.6,229,127,52580,2.9140555523335934,52,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,52,2.9140555523335934,17.84454656616209,17.84454656616209,NA,NA,Krill-feeding,Eastern North Pacific,2.9412777777777777
bb180304-42,2942,110015,10,good,none,66,10707.3,5,2943,110016,2.97424999717623,66,0,0,0,0,Krill,NA,8.04,Antarctic,bb,Minke Whale,7.94,3.1091,0.69969,8.04,3191.084475289825,66,2.97424999717623,22.190468206324546,22.190468206324546,NA,NA,Krill-feeding,Antarctic,2.9742499999999996
bw170815-21,2984,110149,10,good,none,54,10716.5,64,2985,110150,2.9768055556342006,54,0,0,0,0,Krill,NA,22.55,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.55,86707.10761505718,54,2.9768055556342006,18.140251014311026,18.140251014311026,NA,NA,Krill-feeding,Eastern North Pacific,2.9768055555555555
mn170809-41,13704,125093,10,good,none,22,11138.9,157,13705,125094,3.0941388895735145,22,0,0,0,0,Anchovies,NA,8.8,SoCal,mn,Humpback Whale,12.5,3.24603,0.85934,8.8,8220.075533088031,22,3.0941388895735145,7.110217344843368,7.110217344843368,NA,NA,Fish-feeding,Eastern North Pacific,3.094138888888889
bp15_075a,0,285804,25,good,yes,80,11432.16,245,299,283080,3.142011109739542,93,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,93,3.142011109739542,29.59887688230016,29.59887688230016,NA,NA,Krill-feeding,Eastern North Pacific,3.1756
mn170817-30,14950,130036,10,good,none,29,11508.6,168,14951,130037,3.1968333330005407,29,0,0,0,0,Anchovies,NA,11.69,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,11.69,20664.012582675132,29,3.1968333330005407,9.071476983374877,9.071476983374877,NA,NA,Fish-feeding,Eastern North Pacific,3.196833333333333
be180423-41,2822,117977,10,good,none,4,11515.5,12,2823,117978,3.1987500032410026,6,0,0,0,0,Fish,NA,9.97,South Africa,be,Bryde's Whale,13.208,3.1453,0.5787,9.97,5124.041062450845,6,3.1987500032410026,1.8757327061885878,1.8757327061885878,NA,NA,Fish-feeding,South Africa,3.19875
bw14_256a,0,494603,25,good,yes,8,19784.12,309,1489,471041,3.234802239574492,8,1.5637949975207448,0,0.4186472073197365,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,8,5.217244444414973,1.5333764950507445,2.4731032710835286,0,0,Krill-feeding,Eastern North Pacific,5.495588888888888
mn151103-3,3990,121590,10,good,none,108,11760,117,3991,121591,3.266631946898997,112,0,0,0,0,Inverts,NA,NA,South Africa,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,112,3.266631946898997,34.28607869531223,34.28607869531223,NA,NA,Krill-feeding,South Africa,3.2666666666666666
bw11_210a,0,64250,5,good,yes,73,12850,273,3040,62789,3.3193888887763023,90,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,90,3.3193888887763023,27.113424493379753,27.113424493379753,NA,NA,Krill-feeding,Eastern North Pacific,3.569444444444444
bw13_207a,23885,327760,25,good,none,72,12155,294,21328,325302,3.3774888860061765,72,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,72,3.3774888860061765,21.317612708753806,21.317612708753806,NA,NA,Krill-feeding,Eastern North Pacific,3.376388888888889
bw14_262b,0,321950,25,good,yes,26,12878,312,1348,321488,3.5571111096069217,34,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,34,3.5571111096069217,9.55831823981376,9.55831823981376,NA,NA,Krill-feeding,Eastern North Pacific,3.5772222222222223
bw13_214b,0,326218,25,good,none,17,13048.72,297,508,322295,3.575411109253764,21,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,21,3.575411109253764,5.873450453193613,5.873450453193613,NA,NA,Krill-feeding,Eastern North Pacific,3.6246444444444443
mn161006-11,7033,136069,10,good,none,50,12903.6,136,7034,136070,3.5843333322554827,50,0,0,0,0,Sardines,NA,NA,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,50,3.5843333322554827,13.949595465926414,13.949595465926414,NA,NA,Fish-feeding,Eastern North Pacific,3.5843333333333334
bp160728-25,2989,132194,10,good,none,141,12920.5,24,2990,132195,3.5890277763828635,141,0,0,0,0,Krill,NA,NA,Monterey,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,141,3.5890277763828635,39.28640534014041,39.28640534014041,NA,NA,Krill-feeding,Eastern North Pacific,3.589027777777778
bp10_236a,0,68055,5,partial (37-40),yes,8,13611,226,789,66778,3.6660555554553866,33,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,33,3.6660555554553866,9.001500250287625,9.001500250287625,NA,NA,Krill-feeding,Eastern North Pacific,3.7808333333333333
bp10_245a,0,66297,5,partial (0-16),yes,15,13259.4,230,32,66163,3.673944443464279,60,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,60,3.673944443464279,16.331221368013964,16.331221368013964,NA,NA,Krill-feeding,Eastern North Pacific,3.6831666666666663
bp13_265a,0,337020,25,good,none,103,13480.8,243,293,336865,3.7396888872608542,101,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,101,3.7396888872608542,27.007594226368315,27.007594226368315,NA,NA,Krill-feeding,Eastern North Pacific,3.7446666666666664
bw14_213a,0,357966,25,good,none,56,14318.64,304,5267,350977,3.8412222219631076,55,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,55,3.8412222219631076,14.318359319469812,14.318359319469812,NA,NA,Krill-feeding,Eastern North Pacific,3.9774
bp15_236a,0,302377,20,"partial (0-21, 32, 33)",yes,51,15118.85,248,9353,302258,4.06812500115484,95,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,95,4.06812500115484,23.352281449815788,23.352281449815788,NA,NA,Krill-feeding,Eastern North Pacific,4.199680555555556
mn170809-43,2415,75907,10,good,none,13,7349.2,158,2416,75908,4.082888888195157,13,0,0,0,0,Anchovies,NA,10.2,SoCal,mn,Humpback Whale,12.5,3.24603,0.85934,10.2,13274.040412047494,13,4.082888888195157,3.184020029931957,3.184020029931957,NA,NA,Fish-feeding,Eastern North Pacific,2.0414444444444446
bw170816-42,3000,151242,10,good,none,62,14824.2,71,3001,151243,4.117833335883915,62,0,0,0,0,Krill,NA,24.43,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,24.43,116303.46591248461,62,4.117833335883915,15.05646172216714,15.05646172216714,NA,NA,Krill-feeding,Eastern North Pacific,4.1178333333333335
bp13_193a,0,138707,10,good,yes,42,13870.7,235,1996,152231,4.173194442875683,49,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,49,4.173194442875683,11.741604823530547,11.741604823530547,NA,NA,Krill-feeding,Eastern North Pacific,3.8529722222222222
bw10_244c,35692,84070,5,good,yes,24,9675.6,264,4860,80949,4.227166668511927,27,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,27,4.227166668511927,6.387257025165915,6.387257025165915,NA,NA,Krill-feeding,Eastern North Pacific,2.687666666666667
bw14_211b,0,382707,25,good,yes,60,15308.28,302,544,382120,4.23973333183676,63,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,63,4.23973333183676,14.85942512632199,14.85942512632199,NA,NA,Krill-feeding,Eastern North Pacific,4.2523
bw11_211a,0,77902,5,good,yes,83,15580.4,275,52,77174,4.284555553458631,92,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,92,4.284555553458631,21.472472197433557,21.472472197433557,NA,NA,Krill-feeding,Eastern North Pacific,4.327888888888889
bw140806-2,2985,160810,10,good,none,7,15782.5,37,2986,160811,4.384041666984558,10,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,10,4.384041666984558,2.2810002184304565,2.2810002184304565,NA,NA,Krill-feeding,Eastern North Pacific,4.384027777777778
bw14_262a,0,400523,25,good,yes,68,16020.92,311,866,398120,4.413933333009481,78,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,78,4.413933333009481,17.671313568938412,17.671313568938412,NA,NA,Krill-feeding,Eastern North Pacific,4.450255555555556
bw170816-27,2980,163247,10,good,none,87,16026.7,69,2981,163248,4.451861112378538,87,0,0,0,0,Krill,NA,22.51,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.51,86144.3921266161,87,4.451861112378538,19.5423886333951,19.5423886333951,NA,NA,Krill-feeding,Eastern North Pacific,4.4518611111111115
bw10_246b,0,80902,5,good,yes,66,16180.4,267,213,80406,4.455166666768491,81,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,81,4.455166666768491,18.18113800414845,18.18113800414845,NA,NA,Krill-feeding,Eastern North Pacific,4.494555555555555
bw170816-51,6879,167338,10,good,none,81,16045.9,73,6880,167339,4.457194444723427,84,0,0,0,0,Krill,NA,22.93,Monterey,bw,Blue Whale,22.05,3.667316,-0.014078,22.93,92187.12612312273,84,4.457194444723427,18.84593572071821,18.84593572071821,NA,NA,Krill-feeding,Eastern North Pacific,4.457194444444444
bw10_246a,0,82888,5,good,yes,60,16577.6,266,289,81194,4.494722222909331,67,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,67,4.494722222909331,14.90637166819898,14.90637166819898,NA,NA,Krill-feeding,Eastern North Pacific,4.604888888888889
bp10_236b,0,83042,5,partial (41-50),yes,10,16608.4,227,1030,82764,4.540777777321637,50,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,50,4.540777777321637,11.011329435613195,11.011329435613195,NA,NA,Krill-feeding,Eastern North Pacific,4.613444444444444
bp13_216a,0,421572,25,good,yes,71,16862.88,236,1086,416777,4.6187888905406,86,0,0,0,0,Krill,NA,NA,SoCal,bp,Fin Whale,20.2,3.54883,0.15604,20.2,60010.44128941307,86,4.6187888905406,18.6195996478926,18.6195996478926,NA,NA,Krill-feeding,Eastern North Pacific,4.6841333333333335
mn170817-43,3000,170451,10,good,none,40,16745.1,169,3001,170452,4.651416666805744,40,0,0,0,0,Anchovies,NA,11.97,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,11.97,22314.2695533027,40,4.651416666805744,8.599530608697135,8.599530608697135,NA,NA,Fish-feeding,Eastern North Pacific,4.651416666666666
be180423-42,17733,188384,10,good,none,40,17065.1,13,17734,188385,4.740305554121733,41,0,0,0,0,Fish,NA,NA,South Africa,be,Bryde's Whale,13.208,3.1453,0.5787,13.208,12410.392744088105,41,4.740305554121733,8.649231475036494,8.649231475036494,NA,NA,Fish-feeding,South Africa,4.740305555555555
bw14_261a,0,431950,25,good,none,17,17278,310,258,428378,4.756888889707625,17,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,17,4.756888889707625,3.5737643645161703,3.5737643645161703,NA,NA,Krill-feeding,Eastern North Pacific,4.799444444444444
bw13_217a,0,402337,25,good,yes,130,16093.48,299,15388,447063,4.7963888850063086,135,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,135,4.7963888850063086,28.146174807054336,28.146174807054336,NA,NA,Krill-feeding,Eastern North Pacific,4.470411111111111
