whaleIDSp,whaleIDNumber,TL,LogTL,VGBm,LogVGBm,MW,LogMW,MR,LogMR,Species,Input,,MW,MR,VGB,Species
bw,131,18.8,1.274157849,10.23,1.009875634,44414.59707,4.647525727,1.17864,0.071381176,Blue Whale,1,,,,,
bw,132,20.3,1.307496038,11.7,1.068185862,62518.20138,4.796006475,1.28325,0.108311273,Blue Whale,1,,,,,
bw,133,19,1.278753601,10.4,1.017033339,46480.06955,4.667266769,1.19054,0.075743991,Blue Whale,1,,,,,
bw,134,19,1.278753601,10.4,1.017033339,46480.06955,4.667266769,1.19054,0.075743991,Blue Whale,1,,,,,
bw,135,20.1,1.303196057,11.5,1.06069784,59845.02359,4.777028043,1.26976,0.103721642,Blue Whale,1,,,,,
bw,136,19.4,1.28780173,10.8,1.033423755,51083.92072,4.708284222,1.22036,0.086487964,Blue Whale,1,,,,,
bw,137,19.4,1.28780173,10.8,1.033423755,51083.92072,4.708284222,1.22036,0.086487964,Blue Whale,1,,,,,
bw,138,20.3,1.307496038,11.7,1.068185862,62518.20138,4.796006475,1.28325,0.108311273,Blue Whale,1,,,,,
bw,139,18.9,1.276461804,10.3,1.012837225,45373.47315,4.656802024,1.1829,0.072948032,Blue Whale,1,,,,,
bw,140,21.5,1.33243846,12.9,1.11058971,80224.62568,4.904307699,1.3588,0.133155538,Blue Whale,1,,,,,
bw,141,20.27,1.306853749,11.62,1.065206128,61846.18699,4.791312929,1.27576,0.105768981,Blue Whale,1,,,,,
bw,142,24.9,1.396199347,16.25,1.210853365,147178.3061,5.1678438,1.52528,0.183349576,Blue Whale,1,,,,,
bw,143,20.5,1.311753861,11.85,1.07371835,64994.70888,4.812878003,1.29103,0.110936334,Blue Whale,1,,,,,
bw,144,17.95,1.254064453,9.3,0.968482949,35521.87752,4.550495912,1.10049,0.041586101,Blue Whale,1,,,,,
bw,145,18.6,1.269512944,9.95,0.997823081,41947.17904,4.62270276,1.15372,0.062100421,Blue Whale,1,,,,,
bw,146,19.85,1.297760511,11.2,1.049218023,56359.35809,4.750966038,1.24695,0.09584904,Blue Whale,1,,,,,
bw,147,18,1.255272505,9.35,0.970811611,35991.43168,4.556199123,1.1047,0.043244354,Blue Whale,1,,,,,
