ID,species,lunge_depth
bw160727-10,bw,99.77309993204705
bw160727-10,bw,99.83683460894952
bw160727-10,bw,98.35150865660711
bw160727-10,bw,91.95446165651822
bw160727-10,bw,110.03126702326449
bw160727-10,bw,98.35302833712561
bw160727-10,bw,101.04491972225654
bw160727-10,bw,87.68336864233892
bw160727-10,bw,80.64978225753485
bw160727-10,bw,101.85649412845352
bw160727-10,bw,119.82452200298862
bw160727-10,bw,122.78741671852316
bw160727-10,bw,77.42502263035395
bw160727-10,bw,80.89223507958465
bw160727-10,bw,90.47586743367737
bw160727-10,bw,79.16492877758422
bw160727-10,bw,119.26044613712465
bw160727-10,bw,114.8262249924318
bw160727-10,bw,113.19714157646325
bw160727-10,bw,104.26149931559529
bw160727-10,bw,85.07385152578762
bw160727-10,bw,89.89085278226442
bw160727-10,bw,89.43440827739907
bw160727-10,bw,73.02131473663489
bw160727-10,bw,76.16093179025317
bw160727-10,bw,87.08416750271583
bw160727-10,bw,68.5083836460358
bw160727-10,bw,116.7103436312619
bw160727-10,bw,118.76977336805588
bw160727-10,bw,90.44403990470141
bw160727-10,bw,93.21272386303022
bw160727-10,bw,99.47955988516858
bw160727-10,bw,96.67330319610159
bw160727-10,bw,97.63233126980502
bw160727-10,bw,93.90006253152747
bw160727-10,bw,74.87229688765764
bw160727-10,bw,54.837255360316874
bw160727-10,bw,111.25596662921907
bw160727-10,bw,103.79553034501134
bw160728-36b,bw,62.51980617941108
bw160728-36b,bw,69.66257009074809
bw160728-36b,bw,77.19944954367132
bw160728-36b,bw,70.45668817515869
bw160728-36b,bw,77.84570419844958
bw160728-36b,bw,75.16358157887217
bw170813-41,bw,110.10630176478884
bw170813-41,bw,131.2939485717518
bw170813-41,bw,128.1793614222995
bw170813-41,bw,122.92777803647718
bw170813-41,bw,130.25517870391644
bw170813-41,bw,150.61314000252096
bw170813-41,bw,148.05526825512885
bw170813-41,bw,124.90558199598317
bw170813-41,bw,138.77637731944552
bw170813-41,bw,102.62320150467986
bw170813-41,bw,110.40495029771074
bw170813-41,bw,114.61928975998002
bw170813-41,bw,124.51580925002166
bw170813-41,bw,125.24629362522174
bw170813-41,bw,127.50829382249654
bw170813-41,bw,132.41092989812492
bw170813-41,bw,119.32315264114492
bw170813-41,bw,127.07574292191241
bw170813-41,bw,132.33038494841134
bw170813-41,bw,132.49108349698568
bw170813-41,bw,130.93569328049858
bw170813-41,bw,131.44907125214817
bw170813-41,bw,132.85474860212693
bw170813-41,bw,130.9660612048027
bw170813-41,bw,139.6933747394781
bw170813-41,bw,128.01416988389113
bw170813-41,bw,125.23181160977158
bw170813-41,bw,128.12020295768653
bw170813-41,bw,121.91005305380091
bw170813-41,bw,119.04492473085077
bw170813-41,bw,116.8695774007439
bw170813-41,bw,116.12368468651772
bw170813-41,bw,111.24800463081162
bw170813-41,bw,111.66511020709163
bw170813-41,bw,109.56753256928941
bw170813-41,bw,114.673468050304
bw170813-41,bw,126.65182721450967
bw170813-41,bw,121.96520993736927
bw170813-41,bw,125.10405834942145
bw170813-41,bw,124.89511734786613
bw170813-41,bw,131.19690159564672
bw170813-41,bw,128.33954966930514
bw170813-41,bw,132.55300449244575
bw170813-41,bw,132.69673969283704
bw170813-41,bw,126.32054675665715
bw170813-41,bw,121.82753676197002
bw170813-41,bw,127.21201510778205
bw170813-41,bw,128.4973545665292
bw170813-41,bw,128.24240387579482
bw170813-41,bw,129.4348355134013
bw170813-41,bw,131.03773814069413
bw170813-41,bw,130.63064022668473
bw170813-41,bw,133.11489676981503
bw170813-41,bw,137.8202945800625
bw170813-41,bw,136.31386963149876
bw170813-41,bw,136.7188076915562
bw170813-41,bw,136.98377104398824
bw170813-41,bw,134.52487590761595
bw170813-41,bw,131.1194320147278
bw170813-41,bw,128.80312493324567
bw170813-41,bw,130.09071791776657
bw170813-41,bw,128.0612567518476
