Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Ziphiidae,Berardius,bairdii,10.5,11900,19,1.1,2.31,43.9,0.26,0.25,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,89,0.1,3.08,274.5,1.62,1.58,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,123,0.3,4.53,555.4,3.28,3.19,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,191,21.3,3.78,723.7,4.27,4.16,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,152,0.2,2.65,401.9,2.37,2.31,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,14516,0,2.65,38468,9.97,9.95,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,118,0.5,4.01,473.5,2.8,2.72,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,38,0.1,2.31,88.6,0.52,0.51,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,41,1.8,1.82,74.2,0.44,0.43,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,107,6.1,1.69,180.4,1.07,1.04,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,267,0.1,2.31,617,3.64,3.55,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,280,0.1,3.42,959.3,5.66,5.51,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,552,0,2.88,1588.8,9.38,9.13,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,6800,0,2.88,19584,5.07,5.07,0.45
Delphinidae,Globicephala,melas,5,1200,50,10,4.01,200.5,5,2.99,0.45
Delphinidae,Globicephala,melas,5,1200,150,17.3,4.01,601.5,15,8.96,0.45
Delphinidae,Globicephala,melas,5,1200,250,12,4.01,1002.5,25.01,14.94,0.45
Delphinidae,Globicephala,melas,5,1200,350,7.3,4.01,1403.5,35.01,20.92,0.45
Delphinidae,Globicephala,melas,5,1200,450,13.3,4.01,1804.5,45.01,26.89,0.45
Delphinidae,Globicephala,melas,5,1200,550,13.3,4.01,2205.5,55.01,32.87,0.45
Delphinidae,Globicephala,melas,5,1200,650,10,4.01,2606.5,65.02,38.85,0.45
Delphinidae,Globicephala,melas,5,1200,750,4.7,4.01,3007.5,75.02,44.82,0.45
Delphinidae,Globicephala,melas,5,1200,850,4.7,4.01,3408.5,85.02,50.8,0.45
